CB3 .C55,CS498 .M32 1982,CB0000003.000000000.C55000000.000000000,CS0000498.000000000.M320000.000000000,860,125,1
CS599 .S484 1971,D21 .W93 v.2,CS0000599.000000000.S484000000.000000000,D00000021.000000000.W93000000.000000000,835,125,2
D21.1 .D58 1981,D761 .V55,D00000021.100000000.D58000000.000000000,D00000761.000000000.V55000000.000000000,805,125,3
D761 .W4,DA86 .P884,D00000761.000000000.W40000000.000000000,DA0000086.000000000.P88400000.000000000,780,125,4
DA86.R52,DA506.A2 A4,DA0000086.000000000.R52000000.000000000,DA0000506.000000000.A20000000.A40000000,760,125,5
DA785 .S12,DC129 .W6,DA0000785.000000000.S12000000.000000000,DC0000129.000000000.W60000000.000000000,710,125,7
DA506.A2 B75,DA784.5 .M23 1989,DA0000506.000000000.A20000000.B75000000,DA0000784.500000000.M23000000.000000000,735,125,6
DC130.A2 H3,DF623 .C46,DC0000130.000000000.A20000000.H30000000,DF0000623.000000000.C46000000.000000000,685,125,8
DF631 .B313,DK 267 .T85,DF0000631.000000000.B31300000.000000000,DK0000267.000000000.T85000000.000000000,665,125,9
DK 268 .A1 D56213 1999,DS 70.7 O6,DK0000268.000000000.A100000.D56213000,DS0000070.700000000.O60000000.000000000,640,125,10
 DS 70.7 S27,DS 557 .C28 S6,DS0000070.700000000.S27000000.000000000,DS0000557.000000000.C28000000.S60000000,615,125,11
DS 557 .F3 v. 1,DS 917 .W47,DS0000557.000000000.F30000000.000000000,DS0000917.000000000.W47000000.000000000,590,125,12
DS 917.35 .P33,DT 636 S5 A3,DS0000917.350000000.P33000000.000000000,DT0000636.000000000.S50000000.A30000000,570,125,13
DT 636.2 .F65 1996,E 160 .F72,DT0000636.200000000.F65000000.000000000,E00000160.000000000.F7200000.000000000,545,125,14
E 160 F73 1974 Quarto,E 184 .A1 I444 1992,E00000160.000000000.F7300000.000000000,E00000184.000000000.A10000000.I44400000,525,125,15
 E 184 .A1 I445 1996,E 302 J442 1984,E00000184.000000000.A10000000.I44500000,E00000302.000000000.J44200000.000000000,500,125,16
E 302 .J442 2004b v. 1,E 487 C746 v. 2,E00000302.000000000.J44200000.000000000,E00000487.000000000.C74600000.000000000,475,125,17
E 487 C746 1996 v. 1,E 876 U556 Appendix B v. 20,E00000487.000000000.C74600000.000000000,E00000876.000000000.U55600000.000000000,455,125,18
 E 876 U556 Appendix B v. 21 QUARTO,F 548.9 .N4 R437 2005,E00000876.000000000.U55600000.000000000,F00000548.900000000.N40000000.R43700000,430,125,19
 F 548.9 .N4 S77 2007,F 1656 C7 1968,F00000548.900000000.N40000000.S77000000,F00001656.000000000.C70000000.000000000,410,125,20
F 1659 B55 F4,GN 51 A58 Quarto,F00001659.000000000.B55000000.F40000000,GN0000051.000000000.A58000000.000000000,365,125,22
GN 51 .A58 1998B Quarto,GV 741 .I58 2006,GN0000051.000000000.A58000000.000000000,GV0000741.000000000.I58000000.000000000,390,125,21
GV 741 .I58 2007,Q 183.9 I34 2002,GV0000741.000000000.I58000000.000000000,Q00000183.900000000.I34000000.000000000,345,125,23
Q 183.9 L45 1993,QA 3 P985 v. 57,Q00000183.900000000.L45000000.000000000,QA0000003.000000000.P98500000.000000000,215,390,24
QA 3 .P985 v.58,QA 76.625 .K57 2007,QA0000003.000000000.P98500000.000000000,QA0000076.625000000.K57000000.000000000,235,390,25
QA 76.625 .P73 2005,QA90 .L65,QA0000076.625000000.P73000000.000000000,QA0000090.000000000.L65000000.000000000,255,390,26
QA 90 .L65 1959,QA267 .H487 1989,QA0000090.000000000.L65000000.000000000,QA0000267.000000000.H48700000.000000000,280,390,27
QA267 .H56,QA 315 .M6,QA0000267.000000000.H56000000.000000000,QA0000315.000000000.M60000000.000000000,300,390,28
QA 315 .P25,QA 564 .C656,QA0000315.000000000.P25000000.000000000,QA0000564.000000000.C65600000.000000000,320,390,29
QA 564 .C656 1961,QC 92 .U54 M477 2nd ed. 1975,QA0000564.000000000.C6560000.000000000,QC0000092.000000000.U5400000.M4770000,345,315,30
QC 92 .U54 M477 3rd ed. 1976,QC689.55 .S45 C45 1999,QC0000092.000000000.U54000000.M4770000,QC0000689.550000000.S4500000.C45000000,365,315,31
QC 689.55 .S45 C48 1994,QD271.A45 .v1,QC0000689.550000000.S45000000.C48000000,QD0000271.A45000000.v10000000.000000000,385,315,32
QH 326 .P49 2007,QK 314 .F54,QH0000326.000000000.P49000000.000000000,QK0000314.000000000.F54000000.000000000,450,315,35
QD 271 .A45 v2,QE 71 .E19,QD0000271.000000000.A45000000.v20000000,QE0000071.000000000.E19000000.000000000,405,315,33
QE71 .G48 1986,QH326 .M59 2009,QE0000071.000000000.G48000000.000000000,QH0000326.000000000.M59000000.000000000,430,315,34
QK 321 .A3613,QL951 .C8 v.43 1999,QK0000321.000000000.A36130000.000000000,QL0000951.000000000.C80000000.000000000,475,315,36
QL951 .C8 v.44 1999,QP 601 .C733 v.171,QL0000951.000000000.C80000000.000000000,QP0000601.000000000.C73300000.000000000,500,315,37
QP 601 .C733 v.172,RA 410.7 .M36,QP0000601.000000000.C73300000.000000000,RA0000410.700000000.M36000000.000000000,525,315,38
RA410.7 .N385 v.1,RC 455 .S8,RA0000410.700000000.N38500000.000000000,RC0000455.000000000.S80000000.000000000,545,315,39
RC 552 .E18 Z47 1993,RD 98 .G38,RC0000552.000000000.E18000000.Z47000000,RD0000098.000000000.G38000000.000000000,640,315,40
RD 99 .E42 1955,S 942 .C6 1974,RD0000099.000000000.E42000000.000000000,S00000942.000000000.C60000000.000000000,660,315,41
S 942 .K63 1972,TA166 .W68 1980,S00000942.000000000.K63000000.000000000,TA0000166.000000000.W68000000.000000000,685,315,42
TA167 .A965 1998,TA1520 .S87 2007,TA0000167.000000000.A96500000.000000000,TA0001520.000000000.S87000000.000000000,705,315,43
TA1520 .W35 1998,TD 741 .I33,TA0001520.000000000.W35000000.000000000,TD0000741.000000000.I33000000.000000000,735,315,44
TD 741 .I33 1956,TJ 163.2 .A55 v.6 1981,TD0000741.000000000.I330000000.000000000,TJ0000163.200000000.A550000000.000000000,760,315,45
TJ 163.2 .A55 v.7 1982,TK5105.875 I57 G88 2001,TJ0000163.200000000.A55000000.000000000,TK0005105.875000000.I57000000.G88000000,785,315,46
TK 5105.875 .I57 H33 1996,TL 215 .M18 D53 2005,TK0005105.875000000.I57000000.H33000000,TL0000215.000000000.M18000000.D53000000,805,315,47
TL 215 .M34 P73,TP 155 .C69 v.6 1999,TL0000215.000000000.M34000000.P73000000,TP0000155.000000000.C69000000.000000000,835,315,48
TP 155 .D74 1988,TS 156 .I838 2003,TP0000155.000000000.D74000000.000000000,TS0000156.000000000.I83800000.000000000,855,315,49
TS 156 .J324,TX950.56 .P69 1998,TS0000156.000000000.J32400000.000000000,TX0000950.560000000.P69000000.000000000,880,315,50
