21st century science,Aeronautical JournalZ,660,195,1
Aerospace America,American Journal of PhysiologyZ,635,195,2
American Journal of Psychiatry,AngewandteZ,610,195,3
Anglican Theological,Art BookZ,580,195,4
Art Bulletin,Behavioral DisordersZ,555,195,5
Behavioral Ecology,BroadcastZ,525,195,6
Broadcasting,Canadian Journal of Applied PhysiologyZ,495,195,7
Canadian Journal of Biochemistry,"Chemical Engineering (Albany, N.Y. : 1946)Z",465,195,8
Chemical Engineering Journal,College and Research Library NewsZ,440,195,9
College and University,Contemporary PolicyZ,415,195,10
Contemporary Psychology,DiscoverZ,390,195,11
Discussions of the Faraday,Educational ReviewZ,365,195,12
Educational Screen,Ergonomics : the official publication of the Ergonomics Research SocietyZ,340,195,13
Ergonomics in Design,Focus on LearningZ,320,195,14
Folia Biologica,FortuneZ,295,50,15
Forum,Genetic Psychology MonographsZ,270,50,16
Genetic Social and Psychology Monographs ,Germanic ReviewZ,250,50,17
Gerontologist,Harvard BusinessZ,230,50,18
Harvard Educational,HistorianZ,210,50,19
Historic Preservation,HPAC EngineeringZ,190,50,20
HR Focus,IEEE JournalZ,170,50,21
IEEE LCS,Industrial MarketingZ,320,340,29
Industrial Organizational Psychologist,Journal of AccountancyZ,340,340,30
Journal of Accounting Auditing and Finance,Journal of College Student Personnel v11Z,365,340,31
Journal of College Student Personnel v12,Journal of HerpetologyZ,390,340,32
Journal of Hispanic Latino Theology,Journal of Physics C Solid State Physics v02Z,415,340,33
Journal of Physics C Solid State Physics v03,Journal of the American Medical Association v134aZ,440,340,34
Journal of the American Medical Association v134b,Library MosaicsZ,465,340,35
Library Resources and Technical Services,Messenger v39Z,495,340,36
Messenger v40,National Elementary Principal v49Z,525,340,37
National Elementary Principal v53,New Testament Studies v13Z,555,340,38
New Testament Studies v14,Pacific Journal of Mathematics v95Z,580,340,39
Pacific Journal of Mathematics v96,Physics Education v35Z,610,340,40
Physics Education v36,Proceedings of the London Mathematical Society v09Z,635,340,41
Proceedings of the London Mathematical Society v10,Quarterly Journal of EconomicsZ,660,340,42
Quarterly Journal of Experimental Psychology,Review of EducationalZ,685,340,43
Review of English,School ReviewZ,710,340,44
School Science,Social ForcesZ,740,340,45
Social Justice,Studia LinguisticaZ,775,340,46
Studia Mathematica,ThomistZ,795,340,47
Thought,University of CaliforniaZ,820,340,48
University of Dayton Review,ZygonZ,840,340,49
